OBJECTID,FEATURETYPE,NAME,CLASS,OPERATOR,OWNER,SITEADDRESS,SITESUBURB,POSTCODE,STATE,STATUS,GENERATIONTYPE,PRIMARYFUELTYPE,PRIMARYSUBFUELTYPE,GENERATIONMW,GENERATORNUMBER,FEATURERELIABILITY,FEATURESOURCE,ATTRIBUTERELIABILITY,ATTRIBUTESOURCE,PLANIMETRICACCURACY,SPATIALACCURACY,METADATACOMMENT,METADATALINK1,RESTRICTIONS,REVISED,ENO,TEXTNOTE
139,Power Station,Fisher Power Station,Renewable,,Hydro-Electric Corporation (Tasmania),,Mersey Forest,7304,TASMANIA,Operational,Hydroelectric (Gravity),Water,,46,1,1/1/07,1425-270,31/7/12,AEMO Generator List,,5, ,,,11/9/12,259365,
140,Power Station,Devils Gate Power Station,Renewable,,Hydro-Electric Corporation (Tasmania),,Barrington,7306,TASMANIA,Operational,Hydroelectric (Gravity),Water,,63,1,1/1/08,1432-114,31/7/12,AEMO Generator List,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\devilsgate_pwr_stn.jpg,,11/9/12,259362,
141,Power Station,Bastyan Power Station,Renewable,,Hydro-Electric Corporation (Tasmania),,Tullah,7321,TASMANIA,Operational,Hydroelectric (Gravity),Water,,79.9,1,1/1/07,1424-192,31/7/12,AEMO Generator List,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\bastyan_hydro.jpg,,11/9/12,259360,
142,Power Station,Tamar Valley Power Station,Non-Renewable,,Aurora Energy (Tamar Valley),,Bell Bay,7253,TASMANIA,Operational,Combined Cycle Gas Turbine,Natural Gas,,390,5,1/1/06,1404-204,31/7/12,AEMO Generator List,,5,"Includes CCGT and OCGT (peaking). Generating Units 1x210, 4x45",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\tamarvalley_pwr_stn.jpg,,11/9/12,259655,
143,Power Station,Bell Bay Power Station (Bell Bay Three),Non-Renewable,,Aurora Energy Tamar Valley Pty Ltd,,Bell Bay,7253,TASMANIA,Operational,Open Cycle Gas Turbine,Natural Gas,,120,3,1/1/06,1404-204,31/7/12,AEMO Generator List,,5,,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\bellbay_pwr_stn_p1.jpg,,11/9/12,259124,
144,Power Station,Wilmot Power Station,Renewable,,Hydro-Electric Corporation (Tasmania),,Cethana,7306,TASMANIA,Operational,Hydroelectric (Gravity),Water,,32,1,14/3/08,AUL_S42E146-A,31/7/12,AEMO Generator List,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\wilmot_hydro_p1.jpg,,11/9/12,259369,
145,Power Station,Reece Power Station,Renewable,,Hydro-Electric Corporation (Tasmania),,West Coast,,TASMANIA,Operational,Hydroelectric (Gravity),Water,,238,2,14/3/08,AUL_S42E145-C,31/7/12,AEMO Generator List,,5,Generating Units 2x119,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\reece_hydro_p1.jpg,,11/9/12,259353,
146,Power Station,Mackintosh Power Station,Renewable,,Hydro-Electric Corporation (Tasmania),,Tullah,7321,TASMANIA,Operational,Hydroelectric (Gravity),Water,,81,1,14/3/08,AUL_S42E145-D,31/7/12,AEMO Generator List,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\mackintosh_hydro.jpg,,11/9/12,259361,
147,Power Station,Gordon Power Station,Renewable,,Hydro-Electric Corporation (Tasmania),,Southwest,,TASMANIA,Operational,Hydroelectric (Gravity),Water,,432,3,14/3/08,AUL_S43E145-D,31/7/12,AEMO Generator List,,3,Underground power station,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\gordon_hydro.jpg,,11/9/12,259351,
148,Power Station,Cethana Power Station,Renewable,,Hydro-Electric Corporation (Tasmania),,Cethana,7306,TASMANIA,Operational,Hydroelectric (Gravity),Water,,100,1,14/3/08,AUL_S42E146-A,31/7/12,AEMO Generator List,,5,"Underground power station, generating units 1x100",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\cethana_hydro.bmp,,11/9/12,259657,
149,Power Station,Inkerman Sugar Mill Power Station,Renewable,Pioneer Sugar Mills Pty Ltd,CSR,,Home Hill,4806,QUEENSLAND,Operational,Cogeneration - Steam Subcritical,Biomass,Bagasse,10.5,2,1/1/09,Ayr_Home_Hill_15cm_mosaic__mga55_2009.ecw,31/7/12,AEMO Generator List,1,4, ,,,13/9/12,259127,
150,Power Station,Mackay GT Power Station,Non-Renewable,,Stanwell Corporation Ltd,,West Mackay,4740,QUEENSLAND,Operational,Open Cycle Gas Turbine,Natural Gas,,34,1,1/1/09,Mosaic_Mackay_2009.ecw,31/7/12,AEMO Generator List,1,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\mackay_gt_pwr_stn.jpg,,13/9/12,259199,
151,Power Station,Roma Power Station,Non-Renewable,,Origin Energy,,Roma,4455,QUEENSLAND,Operational,Open Cycle Gas Turbine,Natural Gas,,80,2,1/1/08,Roma_2008_200mm.ecw,31/7/12,AEMO Generator List,1,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\roma_pwr_stn.jpg,,13/9/12,259252,
152,Power Station,Swanbank B Power Station,Non-Renewable,Stanwell Corporation Ltd,CS Energy,,Swanbank,4306,QUEENSLAND,Decommissioned,Steam Subcritical,Coal,Black Coal,480,4,1/1/09,Ipswich_2009_Mosaic_15cm_MGA56.ecw,1/3/12,AEMO_ESOO2011chapter4.pdf,1,5,Swanbank B was closed 24 May 2012,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\swanbank_pwr_stn.jpg,,11/9/12,259260,
153,Power Station,Swanbank E Power Station,Non-Renewable,Stanwell Corporation Ltd,CS Energy,,Swanbank,4306,QUEENSLAND,Operational,Combined Cycle Gas Turbine,Natural Gas,,385,1,1/1/09,Ipswich_2009_Mosaic_15cm_MGA56.ecw,1/1/12,AEMO_ESOO2011chapter4.pdf,1,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\swanbank_e_pwr_stn.jpg,,11/9/12,259331,
154,Power Station,Wivenhoe Hydroelectric Power Station,Renewable,,CS Energy,,Split Yard Creek,4306,QUEENSLAND,Operational,Hydroelectric (Pumped Storage),Water,,500,2,1/1/02,Caboolture_9443_60cm_2002,31/7/12,AEMO Generator List,2,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\wivenhoe_hydro.jpg,,13/9/12,259345,
155,Power Station,Barron Gorge Power Station,Renewable,,Stanwell Corporation Ltd,,Kuranda,4881,QUEENSLAND,Operational,Hydroelectric (Run of River),Water,,66,2,1/1/04,Cairns_8064_60cm_2004,31/7/12,AEMO Generator List,3,4,Underground power station,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\barrongorge_hydro.jpg,,13/9/12,259348,
