OBJECTID,FEATURETYPE,NAME,CLASS,OPERATOR,OWNER,SITEADDRESS,SITESUBURB,POSTCODE,STATE,STATUS,GENERATIONTYPE,PRIMARYFUELTYPE,PRIMARYSUBFUELTYPE,GENERATIONMW,GENERATORNUMBER,FEATURERELIABILITY,FEATURESOURCE,ATTRIBUTERELIABILITY,ATTRIBUTESOURCE,PLANIMETRICACCURACY,SPATIALACCURACY,METADATACOMMENT,METADATALINK1,RESTRICTIONS,REVISED,ENO,TEXTNOTE
191,Power Station,Esperance Power Station,Non-Renewable,,Infrastructure Capital Group,,West Beach,6450,WESTERN AUSTRALIA,Operational,,Natural Gas,,39,7,1/5/03,ESPERANCE_TOWNSITE_MAY_2003_MOSAIC.ECW,1/1/12,Infrastructure Capital Group Website,2,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\esperance_pwr_stn.jpg,,17/9/12,,
192,Power Station,Geraldton Power Station,Non-Renewable,,Verve Energy,,Woorree,6530,WESTERN AUSTRALIA,Operational,,Natural Gas,,21,1,1/1/02,GERALDTON_TOWNSITE_MOSAIC.ECW,1/1/12,Verve Energy Website,2,5, ,,,17/9/12,259159,
193,Power Station,Kalgoorlie Power Station (Parkeston),Non-Renewable,,Newmount Australia / Transalta,,Parkeston,6434,WESTERN AUSTRALIA,Operational,,Natural Gas,,110,,1/10/03,KALGOORLIE_TOWNSITE_OCT_2003_MOSAIC.ECW,1/1/10,WA Finance Website,2,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\parkeston_pwr_stn.jpg,,19/9/12,259175,
194,Power Station,Karratha Power Station,Non-Renewable,,ATCO Power,,Stove Hill,6714,WESTERN AUSTRALIA,Operational,,Natural Gas,,86,2,1/9/10,Karratha_Townsite_Sep_2010_Mosaic,1/1/12,ATCO Power Website,2,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\karratha_pwr_stn.jpg,,20/9/12,529793,
195,Power Station,Kwinana (Alcoa Refinery) Powerhouse,Non-Renewable,,Alcoa of Australia Ltd,,Naval Base,6165,WESTERN AUSTRALIA,Operational,,Natural Gas,,66,7,1/1/08,Metro_Central_2009_Mosaic,14/1/11,Alcoa Electricity Generation Licence 14.pdf,2,5, ,,,17/9/12,259187,
196,Power Station,Kwinana A Power Station,Non-Renewable,,Verve Energy,,Naval Base,6165,WESTERN AUSTRALIA,Decommissioned,,Coal,Black Coal,240,2,1/1/08,Metro_Central_2009_Mosaic,1/1/12,Verve Energy Website,2,5,closed 2010,,,17/9/12,,
197,Power Station,Kwinana C Power Station,Non-Renewable,,Verve Energy,,Naval Base,6165,WESTERN AUSTRALIA,Operational,Steam Subcritical,Coal,Black Coal,400,2,1/1/08,Metro_Central_2009_Mosaic,1/1/12,Verve Energy Website,2,5,,,,17/9/12,,
198,Power Station,Kwinana Cogeneration Power Station,Non-Renewable,International Power Mitsui (IPM) Aust,International Power Plc & Mitsui & Co Ltd & Transfield,,Kwinana Beach,6167,WESTERN AUSTRALIA,Operational,Co-generation,Natural Gas,,123,2,1/1/08,Metro_Central_2009_Mosaic,1/1/12,kwinana-cogeneration.pdf,2,4, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\kwinana_cogen_plant.jpg,,17/9/12,259129,
199,Power Station,Kwinana Power Station (Gas Turbine),Non-Renewable,,Verve Energy,,Naval Base,6165,WESTERN AUSTRALIA,Operational,,Natural Gas,,21,1,1/1/08,Metro_Central_2009_Mosaic,1/1/12,Verve Energy Website,2,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\kwinana_pwr_stns.jpg,,17/9/12,,
200,Power Station,Kwinana High Efficiency Gas Turbine Plant,Non-Renewable,,Verve Energy,,Naval Base,6165,WESTERN AUSTRALIA,Under Construction,,Natural Gas,,200,2,1/1/08,Metro_Central_2009_Mosaic,1/1/12,Verve Energy Website,2,5,,,,17/9/12,,
201,Power Station,Kwinana Power Station (NewGen),Non-Renewable,,Newgen Power Kwinana Partnership,,Naval Base,6165,WESTERN AUSTRALIA,Operational,,Natural Gas,,320,1,1/1/08,Metro_Central_2009_Mosaic,1/1/09,GA 2009 Power Stations Database (Ron Sait),2,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\kwinana_newgen_pwr_stn.gif,,17/9/12,358454,
202,Power Station,Kwinana Swift Power Station,Non-Renewable,,Western Energy Pty Ltd,,Kwinana Beach,6167,WESTERN AUSTRALIA,Operational,,Natural Gas,,120,4,1/1/08,Metro_Central_2009_Mosaic,1/1/10,Perth Energy Website,2,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\kwinana_swift_pwr_stn.jpg,,17/9/12,259717,
203,Power Station,Neerabup Power Station,Non-Renewable,,Newgen Neerabup Partnership,,Neerabup,6031,WESTERN AUSTRALIA,Operational,,Natural Gas,,330,7,1/1/08,Metro_North_2009_Mosaic,1/1/09,GA 2009 Power Stations Database (Ron Sait),2,4, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\neerabup_pwr_stn.jpg,,11/9/12,453609,
204,Power Station,Newman (Iron Ore Mine) Power Station,Non-Renewable,,Alinta Energy,,Newman,6753,WESTERN AUSTRALIA,Operational,,Natural Gas,,140,4,1/1/02,NEWMAN_TOWNSITE_MOSAIC.ECW,1/1/12,Leighton Contractors Website,2,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\newman_pwr_stn.jpg,,19/9/12,259214,
205,Power Station,Pinjar Power Station,Non-Renewable,,Verve Energy,,Pinjar,6078,WESTERN AUSTRALIA,Operational,,Natural Gas,,584,9,1/1/08,Metro_North_2009_Mosaic,1/1/12,Verve Energy Website,2,5, ,,,17/9/12,,
206,Power Station,Pinjarra (Bauxite Mine & Alumina Refinery) Power Station,Non-Renewable,,Alinta Energy,,Oakley,6208,WESTERN AUSTRALIA,Operational,,Natural Gas,,280,2,1/1/10,Metro_South_2010_Mosaic,1/1/07,Alinta Website Energy Wise Winter 2007,2,5,"This facility includes Pinjarra 1 and 2, side by side generators",,,11/9/12,259640,
207,Power Station,Ravensthorpe Power Station,Non-Renewable,,First Quantum Minerals,,Jerdacuttup,6346,WESTERN AUSTRALIA,Operational,,Distillate,,56,,1/3/11,Ravensthorpe_Nickel_Mar_2011_Mosaic,1/1/09,GA 2009 Power Stations Database (Ron Sait),2,1, ,,,11/9/12,259930,
208,Power Station,Wagerup (Bauxite Mine & Alumina Refinery) Power Station,Non-Renewable,,Alcoa of Australia Ltd,,Wagerup,6215,WESTERN AUSTRALIA,Operational,,Natural Gas,,98,4,1/1/11,Metro_South_2011_Mosaic,1/1/09,GA 2009 Power Stations Database (Ron Sait),2,4,"Couldn't find any information on this facility, may be decomissioned",,,17/9/12,259274,
209,Power Station,Wagerup Power Station,Non-Renewable,,Alinta Energy,,Wagerup,6215,WESTERN AUSTRALIA,Operational,,Natural Gas,,380,,1/1/11,Metro_South_2011_Mosaic,1/1/12,Alinta website,2,5, ,,,17/9/12,353498,
210,Power Station,West Kalgoorlie Power Station,Non-Renewable,,Verve Energy,,Yilkari,6430,WESTERN AUSTRALIA,Operational,,Distillate,,60,2,1/10/03,KALGOORLIE_TOWNSITE_OCT_2003_MOSAIC.ECW,1/1/12,Verve Energy Website,2,5, ,,,17/9/12,259177,
211,Power Station,Port Hedland Power Station,Non-Renewable,,Alinta Energy,,Boodarie,6722,WESTERN AUSTRALIA,Operational,,Natural Gas,,126,3,1/11/09,Port_Hedland_Townsite_and_Environs_Nov_2009_Mosaic,20/9/12,Alinta Energy Website,3,5, ,,,20/9/12,259242,
212,Power Station,Mount Magnet Power Station,Non-Renewable,,,Geraldton Mt Magnet Road,Mount Magnet,6638,WESTERN AUSTRALIA,Operational,,Natural Gas,,1.9,,1/8/08,Mount_Magnet_Townsite_Aug_2008_Mosaic,14/6/11,WA Government - Mid West Development Commission,5,5,Can't find generation capacity but site has expanded and is greater than 1.9,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\ ,,11/9/12,,
213,Power Station,Collie A Power Station,Non-Renewable,Transfield,Verve Energy,,Palmer,6225,WESTERN AUSTRALIA,Operational,Steam Subcritical,Coal,Black Coal,340,1,1/1/00,BUNBURY_COLLIE_MOSAIC.ECW,1/1/09,GA 2009 Power Stations Database (Ron Sait),5,4, ,,,17/9/12,259146,
214,Power Station,Kalgoorlie (Nickel Smelter) Power Station,Non-Renewable,,Southern Cross Energy,,Feysville,6431,WESTERN AUSTRALIA,Operational,,Natural Gas,,37,1,1/1/00,KALGOORLIE_KURNALPI_PART_MOSAIC.ECW,1/1/10,WA Finance Website,5,2,PS point placed at nickel mine but exact location may not be correct,,,19/9/12,259179,
215,Power Station,Kambalda Power Station,Non-Renewable,,Southern Cross Energy,,Kambalda East,6442,WESTERN AUSTRALIA,Operational,,Natural Gas,,42,1,1/1/02,LAKE_LEFROY_MOUNT_BELCHES_MOSAIC.ECW,21/1/10,TransAlta Website,5,5, ,,,19/9/12,259181,
216,Power Station,Kemerton Power Station,Non-Renewable,,Transfield Services Infrastructure Fund,,Wellesley,6233,WESTERN AUSTRALIA,Operational,,Natural Gas,,310,2,1/1/00,BUNBURY_COLLIE_MOSAIC.ECW,1/11/09,KIP FINAL Strategy Plan_NOV09.pdf,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\kemerton_pwr_stn.jpg,,17/9/12,259771,
217,Power Station,Leinster (Nickel Mine) Power Station,Non-Renewable,,Southern Cross Energy,,Leinster,6437,WESTERN AUSTRALIA,Operational,,Natural Gas,,59,1,1/12/05,SIR_SAMUEL_3042_DEC_2005_MOSAIC.ECW,1/1/10,WA Finance Website,5,4, ,,,19/9/12,259191,
218,Power Station,Mount Keith (Nickel Mine) Power Station,Non-Renewable,,Southern Cross Energy,,Wiluna,6646,WESTERN AUSTRALIA,Operational,,Natural Gas,,112,,1/4/11,Mount_Keith_3043_Apr_2011_Mosaic,1/1/09,GA 2009 Power Stations Database (Ron Sait),5,4, ,,,19/9/12,259212,
219,Power Station,Muja C Power Station,Non-Renewable,,Verve Energy,,Muja,6225,WESTERN AUSTRALIA,Operational,Steam Subcritical,Coal,Black Coal,400,2,1/1/00,BUNBURY_COLLIE_MOSAIC.ECW,1/1/12,Verve Energy Website,5,5,12MW total from Renewable fuels (wood waste)- from all Muja power stations ,,,17/9/12,,
220,Power Station,Muja D Power Station,Non-Renewable,,Verve Energy,,Muja,6225,WESTERN AUSTRALIA,Operational,Steam Subcritical,Coal,Black Coal,454,2,1/1/00,BUNBURY_COLLIE_MOSAIC.ECW,1/1/12,Verve Energy Website,5,5,12MW total from Renewable fuels (wood waste)- from all Muja power stations ,,,17/9/12,,
221,Power Station,Mungarra Power Station,Non-Renewable,,Verve Energy,Walkaway Nangetty Road,West Casuarinas,6630,WESTERN AUSTRALIA,Operational,,Natural Gas,,112,3,1/4/02,INDARRA_1940_APR_2002_MOSAIC.ECW,1/1/12,Pinjar Power Station,5,5, ,,,17/9/12,259218,
222,Power Station,Worsley Cogeneration Power Station,Non-Renewable,Worsley Alumina Pty Ltd,Worsley Alumina Pty Ltd,,Worsley,6225,WESTERN AUSTRALIA,Operational,,Natural Gas,,106,2,1/11/10,Collie_2131_Nov_2010_Mosaic.ecw,1/1/12,Verve Energy Website,5,5,,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\worsley_pwr_stn.jpg,,17/9/12,259282,
223,Power Station,Yurralyi Maya Power Station (Karratha Seven Mile),Non-Renewable,,Rio Tinto Australia Pty Ltd,,Maitland,6714,WESTERN AUSTRALIA,Operational,,Natural Gas,,180,4,1/8/04,DAMPIER_2256_LEGENDRE_2257_AUG_2004_MOSAIC.ECW,1/1/11,Rio Tinto 2011 Annual Report,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\yurralyi_maya_pwr_stn.jpg,,20/9/12,455603,
224,Power Station,Laverton (Granny Smith Gold Mine) Power Station,Non-Renewable,,Barrick Gold of Australia,,Laverton,6440,WESTERN AUSTRALIA,Operational,,Distillate,,30.6,10,1/3/02,LAVERTON_3340_MAR_2002_MOSAIC.ECW,1/1/07,Barrick Website,7,4, ,,,19/9/12,,
225,Power Station,Argyle Diamond Mine Power Station,Non-Renewable,,Rio Tinto - Argyle Diamond Mines,,Lake Argyle,6743,WESTERN AUSTRALIA,Operational,,Distillate,,32,,1/4/09,Bow_4564_Apr_2009_Mosaic,1/1/09,Argyle Diamonds Website,10,5, ,,,20/9/12,259118,
226,Power Station,Christmas Creek (Iron Ore Mine) Power Station,Non-Renewable,,Contract Power Holdings,,Newman,6753,WESTERN AUSTRALIA,Operational,Spark Ignition Reciprocating Engine,Distillate,,28,,1/10/08,Warrie_2853_Oct_2008_Mosaic,1/1/09,GA 2009 Power Stations Database (Ron Sait),10,1, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\christmascreek_pwr_stn.jpg,,11/9/12,,
227,Power Station,Jundee Gold Mine Power Station,Non-Renewable,,Newmount Australia,,Wiluna,6646,WESTERN AUSTRALIA,Operational,Spark Ignition Reciprocating Engine,Natural Gas,,21,6,1/6/08,Millrose_3045_Jun_2008_Mosaic,1/1/09,Energy Developments Website,10,4, ,,,19/9/12,,
228,Power Station,Leonora (Murrin Murrin Nickel Mine) Power Station,Non-Renewable,,Minara Resources,,Leonora,6438,WESTERN AUSTRALIA,Operational,,Natural Gas,,78,,1/12/08,Leonora_3140_Dec_2008_Mosaic,1/1/09,GA 2009 Power Stations Database (Ron Sait),10,3,"Location needs to be corrected, not sure which building is the power station",,,11/9/12,,
229,Power Station,Ord River Power Station,Renewable,,Pacific Hydro Pty Ltd,,Lake Argyle,6743,WESTERN AUSTRALIA,Operational,Hydroelectric (Gravity),Water,,30,4,1/4/09,Argyle_Downs_4665_Apr_2009_Mosaic,1/1/11,Pacific Hydro Website,10,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\lakeargyle_ordriver_hydro.jpg,,20/9/12,259350,
230,Power Station,Plutonic Gold Mine Power Station,Non-Renewable,,Barrick Gold of Australia,,Kumarina,6642,WESTERN AUSTRALIA,Operational,,Natural Gas,,28,4,1/2/06,Three_Rivers_2747_Feb_2006_Mosaic,1/1/09,GA 2009 Power Stations Database (Ron Sait),10,4,Not sure if capacity figure is correct,,,19/9/12,,
231,Power Station,Sunrise Dam Power Station,Non-Renewable,,Energy Generation / AngloGold Ashanti,,Laverton,6440,WESTERN AUSTRALIA,Operational,Spark Ignition Reciprocating Engine,Natural Gas,Liquified Natural Gas,28.4,24,1/10/10,Lake_Carey_3339_Aug_2010_Mosaic,29/3/07,Anglogold Ashanti Website,10,4, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\sunrisedam_pwr_stn.jpg,,19/9/12,448377,
232,Power Station,Wiluna (Gold Mine) Power Station,Non-Renewable,,Apex Minerals,,Wiluna,6646,WESTERN AUSTRALIA,Operational,,Natural Gas,,21,,1/6/08,Wiluna_2944_Jun_2008_Mosaic,1/1/09,GA 2009 Power Stations Database (Ron Sait),10,3,Point at mine.  Exact location of PS unknown,,,19/9/12,259791,
233,Power Station,Paraburdoo (Standby) Power Station,Non-Renewable,,Rio Tinto Australia Pty Ltd,,Innawanga,6751,WESTERN AUSTRALIA,Operational,,Natural Gas,,20,3,1/8/04,Not_Fully_Qa_Ashburton_2351_Paraburdoo_2451_August,1/1/09,GA 2009 Power Stations Database (Ron Sait),,4, ,,,19/9/12,259230,
234,Power Station,Paraburdoo Power Station,Non-Renewable,,Rio Tinto Australia Pty Ltd,,Innawanga,6751,WESTERN AUSTRALIA,Operational,,Natural Gas,,153,3,1/8/04,Not_Fully_Qa_Ashburton_2351_Paraburdoo_2451_August,1/1/11,Rio Tinto Annual Report 2011,,5, ,,,19/9/12,,
235,Power Station,Telfer Gold Mine Power Station,Non-Renewable,,Newcrest Mining Ltd,,Telfer,6762,WESTERN AUSTRALIA,Operational,,Natural Gas,,159,3,1/1/09,ALPSM2P5_ZONE51_2010,1/1/10,Leighton Contractors Website,9,5, ,,,19/9/12,259758,
236,Power Station,Amcor Gawler (Glass Bottle Plant) Power Station,Non-Renewable,,Energy Response,,Kingsford,5118,SOUTH AUSTRALIA,Operational,,Distillate,,4,,1/1/11,2011_Adelaide_MtLofty_Ranges_50cm_EdMask_MGA54,31/7/12,AEMO Generator List,2,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\amcor_glass_cogen_plant.jpg,,13/9/12,,
237,Power Station,Angaston Power Station,Non-Renewable,,Infratil Energy Australia Pty Ltd,,Angaston,5353,SOUTH AUSTRALIA,Operational,Compression Reciprocating Engine,Distillate,,50,30,1/1/11,2011_Adelaide_MtLofty_Ranges_50cm_EdMask_MGA54,31/7/12,AEMO Generator List,2,2, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\angaston_pwr_stn_p1.jpg,,13/9/12,443272,
238,Power Station,Dry Creek Power Station,Non-Renewable,,Synergen Power,,Dry Creek,5094,SOUTH AUSTRALIA,Operational,Open Cycle Gas Turbine,Natural Gas,,156,3,1/1/11,2011_Adelaide_MtLofty_Ranges_50cm_EdMask_MGA54,31/7/12,AEMO Generator List,2,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\drycreek_pwr_stn.jpg,,13/9/12,259154,
239,Power Station,Lonsdale Power Station,Non-Renewable,,Infratil Energy Australia Pty Ltd,Refinery Road,Lonsdale,5160,SOUTH AUSTRALIA,Operational,Compression Reciprocating Engine,Distillate,,20.7,18,1/1/09,CoastalBays_AdelaideMetro_2009_50cm_MGA54,31/7/12,AEMO Generator List,2,5,Facility was moved across road and Port Stanvac PS was built on the old site,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\lonsdale_pwr_stn.jpg,,13/9/12,259608,
240,Power Station,Osborne Power Station,Non-Renewable,,Origin Energy,,Osborne,5017,SOUTH AUSTRALIA,Operational,Combined Cycle Gas Turbine,Natural Gas,,180,2,1/1/11,2011_Adelaide_MtLofty_Ranges_50cm_EdMask_MGA54,31/7/12,AEMO Generator List,2,5,"Generating Units 1x118, 1x62",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\osborne_pwr_stn.jpg,,13/9/12,259228,
241,Power Station,Pedler Creek (Landfill) Power Station,Renewable,,Energy Developments LFG (SA) Pty Ltd,,Mclaren Vale,5171,SOUTH AUSTRALIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,3.1,3,1/1/09,CoastalBays_AdelaideMetro_2009_50cm_MGA54,31/7/12,AEMO Generator List,2,5, ,,,13/9/12,,
242,Power Station,Pelican Point Power Station,Non-Renewable,Pelican Point Power,International Power - GDF Suez Australia,,Outer Harbor,5018,SOUTH AUSTRALIA,Operational,Combined Cycle Gas Turbine,Natural Gas,,478,3,1/1/11,2011_Adelaide_MtLofty_Ranges_50cm_EdMask_MGA54,31/7/12,AEMO Generator List,2,5,"Generating Units 2x160, 1x158",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\pelicanpoint_pwr_stn.jpg,,13/9/12,259321,
243,Power Station,Port Lincoln Power Station,Non-Renewable,,Synergen Power,,Boston,5607,SOUTH AUSTRALIA,Operational,Open Cycle Gas Turbine,Distillate,,73.5,3,1/1/09,Boston_Bay_2009_50cm_MGA53,31/7/12,AEMO Generator List,2,3,"Generating Units 2x25, 1x23.5",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\portlincoln_pwr_stn_p1.jpg,,13/9/12,259248,
244,Power Station,Quarantine Power Station,Non-Renewable,,Origin Energy,,Torrens Island,5960,SOUTH AUSTRALIA,Operational,Open Cycle Gas Turbine,Natural Gas,,224,5,1/1/11,2011_Adelaide_MtLofty_Ranges_50cm_EdMask_MGA54,31/7/12,AEMO Generator List,2,5,"Generating Units 4x24, 1x128",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\quarantine_pwr_stn.jpg,,13/9/12,259088,
245,Power Station,Torrens Island A Power Station,Non-Renewable,AGL (SA) Generation,AGL Energy Pty Ltd,,Torrens Island,5960,SOUTH AUSTRALIA,Operational,Steam Subcritical,Natural Gas,,480,4,1/1/11,2011_Adelaide_MtLofty_Ranges_50cm_EdMask_MGA54,31/7/12,AEMO Generator List,2,4, ,,,13/9/12,259266,
246,Power Station,Torrens Island B Power Station,Non-Renewable,AGL (SA) Generation,AGL Energy Pty Ltd,,Torrens Island,5960,SOUTH AUSTRALIA,Operational,Steam Subcritical,Natural Gas,,800,4,1/1/11,2011_Adelaide_MtLofty_Ranges_50cm_EdMask_MGA54,31/7/12,AEMO Generator List,2,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\torrens_b_pwr_stn.jpg,,13/9/12,,
247,Power Station,Wingfield I (Landfill) Power Station,Renewable,,Energy Developments LFG (SA) Pty Ltd,,Wingfield,5013,SOUTH AUSTRALIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,4.1,4,1/1/11,2011_Adelaide_MtLofty_Ranges_50cm_EdMask_MGA54,31/7/12,AEMO Generator List,2,5, ,,,13/9/12,259207,
248,Power Station,Wingfield II (Landfill) Power Station,Renewable,,Energy Developments LFG (SA) Pty Ltd,,Dry Creek,5094,SOUTH AUSTRALIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,4.1,4,1/1/11,2011_Adelaide_MtLofty_Ranges_50cm_EdMask_MGA54,31/7/12,AEMO Generator List,2,3, ,,,13/9/12,259209,
249,Power Station,Ladbroke Grove Power Station,Non-Renewable,,Origin Energy,,Monbulla,5277,SOUTH AUSTRALIA,Operational,Open Cycle Gas Turbine,Natural Gas,,80,2,1/2/08,SouthEast_RGB_Feb08_90cm_GDA94_MGA54,31/7/12,AEMO Generator List,4,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\ladbrokegrove_pwr_stn.jpg,,13/9/12,259309,
250,Power Station,Snuggery Power Station,Non-Renewable,Synergen Power,International Power - GDF Suez Australia,,Millicent,5280,SOUTH AUSTRALIA,Operational,Open Cycle Gas Turbine,Natural Gas,,63,3,1/2/08,SouthEast_RGB_Feb08_90cm_GDA94_MGA54,31/7/12,AEMO Generator List,4,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\snuggery_pwr_stn.jpg,,13/9/12,259256,
251,Power Station,Snowtown Power Station,Non-Renewable,,,,Wokurna,5520,SOUTH AUSTRALIA,Operational,,Natural Gas,,,3,1/1/99,CFS_Midnorth_MGA53,1/1/09,GA 2009 Power Stations Database (Ron Sait),25,5,Cannot find reference to this station although it is clearly there,,,11/9/12,,
252,Power Station,Playford Power Station,Non-Renewable,Flinders Operating Services,Alinta Energy,,Port Paterson,5700,SOUTH AUSTRALIA,Operational,Steam Subcritical,Coal,Brown Coal,240,4,1/1/06,Whyalla_PortAugusta_PortGermein_MGA53,31/7/12,AEMO Generator List,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\playford_pwr_stn.jpg,,13/9/12,259264,
253,Power Station,Northern Power Station,Non-Renewable,Flinders Operating Services,Alinta Energy,,Port Paterson,5700,SOUTH AUSTRALIA,Operational,Steam Subcritical,Coal,Brown Coal,530,2,1/1/06,Whyalla_PortAugusta_PortGermein_MGA53,31/7/12,AEMO Generator List,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\northern_pwr_stn.jpg,,13/9/12,259224,
254,Power Station,Mintaro Power Station,Non-Renewable,,Synergen Power,,Stanley,5415,SOUTH AUSTRALIA,Operational,Open Cycle Gas Turbine,Natural Gas,,90,1,1/1/08,YorkePen2008_90cm_RGB_GDA94_MGA53,31/7/12,AEMO Generator List,,5, ,,,13/9/12,259208,
255,Power Station,Hallett Power Station,Non-Renewable,TRUenergy,TRUenergy,,Canowie,5419,SOUTH AUSTRALIA,Operational,Open Cycle Gas Turbine,Natural Gas,Light Fuel Oil Diesel,228.3,12,1/1/08,YorkePen2008_90cm_RGB_GDA94_MGA53,31/7/12,AEMO Generator List,,5,"Generating Units 8x16.8, 2x25.2, 2x17.9",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\hallettroad_pwr_stn.jpg,,13/9/12,259093,
256,Power Station,Berrimah Power Station,Non-Renewable,,NT Power and Water,,Berrimah,828,NORTHERN TERRITORY,Operational,,Natural Gas,,10,1,1/1/05,Darwin_1m_RGB_14052005,1/3/12,NT Utilites Commission Power System Review,4,5,Originally had 2 units but Unit one retired in feb 2012 and unit two rerated to 10 MW.  Used for emergency only.,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\berrimah_pwr_stn.jpg,,20/9/12,259126,
257,Power Station,LMS Shoal Bay Landfill Power Station,Renewable,,LMS Energy Generation Pty Ltd,,Holmes,812,NORTHERN TERRITORY,Operational,,Biogas,Landfill Methane,1.1,1,1/1/05,Darwin_1m_RGB_14052005,1/9/11,LMS Generation Website,4,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\lms_shoalbay_pwr_stn.jpg,,20/9/12,,
258,Power Station,Tennant Creek Power Station,Non-Renewable,,NT Power and Water,,Tennant Creek,860,NORTHERN TERRITORY,Operational,,Natural Gas,,18.2,,3/3/03,03MAR15011506-S2AS-005598664050_01_P001,1/3/12,NT Utilites Commission Power System Review,,5, ,,,20/9/12,,
259,Power Station,Ron Goodin Power Station,Non-Renewable,,NT Power and Water,,Sadadeen,870,NORTHERN TERRITORY,Operational,,Natural Gas,,59.6,,18/1/05,SP5COL2P5_348397s5_180105,1/3/12,NT Utilites Commission Power System Review,9,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\rongoodin_pwr_stn.jpg,,20/9/12,259111,
260,Power Station,Owen Springs Power Station,Non-Renewable,,NT Power and Water,,Hugh,872,NORTHERN TERRITORY,Operational,,Natural Gas,,36.7,3,18/1/05,SP5COL2P5_348397s5_180105,1/9/11,NT Power and Water Corp,9,4,,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\owensprings-pwr_stn_rendering.,,20/9/12,,
261,Power Station,Brewer Power Station,Non-Renewable,,Central Energy Power,,Hugh,872,NORTHERN TERRITORY,Operational,,Natural Gas,,8.5,3,1/1/05,SP5COL2P5_348397s5_180105,1/3/12,NT Utilites Commission Power System Review,9,3, ,,,20/9/12,,
262,Power Station,Yulara Power Station,Non-Renewable,,NT Power and Water,,Yulara,872,NORTHERN TERRITORY,Operational,,Natural Gas,,4.5,,17/11/07,alpsm2p5_96564105_17112007,1/10/11,NT Power and Water Corp,9,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\yulara_pwr_stn_p2.jpg,,20/9/12,,
263,Power Station,Pine Creek Power Station,Non-Renewable,,NGD (NT) / Cosmo Power,,Pine Creek,847,NORTHERN TERRITORY,Operational,Spark Ignition Reciprocating Engine,Natural Gas,,34.76,6,18/1/06,sp5pan2p5_339378_20060707,1/1/11,Energy Developments Website,9,5,3 gas fuelled turbines and 3 dual fuel turbines,,,20/9/12,259234,
264,Power Station,Katherine Power Station,Non-Renewable,,NT Power and Water,,Cossack,850,NORTHERN TERRITORY,Operational,,Natural Gas,,21,,31/5/06,sp5pan2p5_340379_20060531,1/9/11,NT Power and Water Corp,9,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\katherine_pwr_stn.jpg,,20/9/12,259183,
